CandidateName,VoterID,Date
cjcurrie,3,1095094800
cjcurrie,25,1095094800
cjcurrie,4,1095094800
cjcurrie,5,1095094800
cjcurrie,6,1095094800
cjcurrie,7,1095094800
cjcurrie,8,1095094800
cjcurrie,9,1095094800
cjcurrie,10,1095094800
cjcurrie,26,1095094800
cjcurrie,27,1095181200
cjcurrie,28,1095181200
cjcurrie,11,1095181200
cjcurrie,12,1095181200
cjcurrie,13,1095181200
cjcurrie,14,1095181200
cjcurrie,29,1095267600
cjcurrie,15,1095267600
cjcurrie,16,1095267600
cjcurrie,17,1095354000
cjcurrie,18,1095354000
cjcurrie,19,1095354000
cjcurrie,20,1095440400
cjcurrie,21,1095440400
cjcurrie,22,1095613200
cjcurrie,23,1095613200
cjcurrie,24,1095613200
zoney,28,1095094800
zoney,33,1095094800
zoney,34,1095094800
zoney,5,1095094800
zoney,20,1095094800
zoney,36,1095094800
zoney,3,1095094800
zoney,25,1095094800
zoney,35,1095094800
zoney,6,1095094800
zoney,37,1095094800
zoney,7,1095094800
zoney,38,1095094800
zoney,8,1095094800
zoney,39,1095094800
zoney,40,1095094800
zoney,9,1095094800
zoney,10,1095094800
zoney,26,1095094800
zoney,41,1095094800
zoney,11,1095181200
zoney,42,1095181200
zoney,14,1095181200
zoney,43,1095181200
zoney,44,1095181200
zoney,45,1095181200
zoney,46,1095267600
zoney,47,1095267600
zoney,48,1095267600
zoney,15,1095267600
zoney,17,1095267600
zoney,49,1095354000
zoney,50,1095354000
zoney,19,1095354000
zoney,51,1095354000
zoney,21,1095440400
zoney,52,1095440400
zoney,53,1095613200
zoney,24,1095613200
zoney,29,1095699600
gerald_farinas,28,1094922000
gerald_farinas,55,1094922000
gerald_farinas,26,1094922000
gerald_farinas,21,1094922000
gerald_farinas,9,1094922000
gerald_farinas,5,1094922000
gerald_farinas,11,1094922000
gerald_farinas,8,1094922000
gerald_farinas,6,1094922000
gerald_farinas,56,1094922000
gerald_farinas,25,1094922000
gerald_farinas,19,1095008400
gerald_farinas,20,1095008400
gerald_farinas,57,1095008400
gerald_farinas,14,1095008400
gerald_farinas,58,1095094800
gerald_farinas,50,1095094800
gerald_farinas,7,1095094800
gerald_farinas,15,1095267600
gerald_farinas,59,1095267600
gerald_farinas,60,1095440400
gerald_farinas,47,1095440400
andrevan,62,1094835600
andrevan,27,1094835600
andrevan,11,1094835600
andrevan,34,1094835600
andrevan,10,1094835600
andrevan,55,1094835600
andrevan,28,1094835600
andrevan,8,1094835600
andrevan,63,1094835600
andrevan,5,1094835600
andrevan,26,1094922000
andrevan,25,1094922000
andrevan,56,1094922000
andrevan,64,1094922000
andrevan,19,1095008400
andrevan,20,1095008400
andrevan,7,1095094800
andrevan,65,1095267600
andrevan,66,1095354000
andrevan,39,1095440400
arminius,55,1094749200
arminius,28,1094749200
arminius,36,1094749200
arminius,33,1094749200
arminius,51,1094749200
arminius,19,1094749200
arminius,4,1094749200
arminius,71,1094749200
arminius,6,1094749200
arminius,11,1094835600
arminius,26,1094922000
arminius,10,1094922000
arminius,25,1094922000
arminius,7,1095094800
arminius,5,1095267600
arminius,15,1095267600
arminius,23,1095354000
lst27,33,1095094800
lst27,10,1095094800
lst27,72,1095094800
lst27,55,1095094800
lst27,6,1095094800
lst27,4,1095094800
lst27,17,1095094800
lst27,5,1095094800
lst27,73,1095181200
lst27,11,1095181200
lst27,75,1095181200
lst27,12,1095181200
lst27,76,1095181200
lst27,66,1095181200
lst27,28,1095181200
lst27,24,1095181200
lst27,78,1095181200
lst27,79,1095181200
lst27,25,1095267600
lst27,77,1095267600
lst27,80,1095267600
lst27,45,1095267600
lst27,47,1095267600
lst27,81,1095267600
lst27,82,1095267600
lst27,29,1095267600
chmod007,11,1095267600
chmod007,83,1095267600
chmod007,40,1095267600
chmod007,17,1095267600
chmod007,9,1095267600
chmod007,41,1095267600
chmod007,10,1095267600
chmod007,91,1095267600
chmod007,67,1095267600
chmod007,84,1095267600
chmod007,35,1095267600
chmod007,20,1095267600
chmod007,85,1095267600
chmod007,5,1095267600
chmod007,6,1095267600
chmod007,8,1095267600
chmod007,59,1095267600
chmod007,28,1095354000
chmod007,26,1095354000
chmod007,25,1095354000
chmod007,19,1095354000
chmod007,15,1095354000
chmod007,86,1095440400
chmod007,71,1095440400
chmod007,87,1095440400
chmod007,80,1095440400
chmod007,88,1095526800
chmod007,23,1095613200
chmod007,51,1095613200
chmod007,24,1095613200
chmod007,89,1095699600
chmod007,29,1095699600
chmod007,90,1095786000
chmod007,39,1095872400
taoster,6,1095354000
taoster,26,1095354000
taoster,11,1095354000
taoster,27,1095354000
taoster,92,1095354000
taoster,5,1095354000
taoster,7,1095354000
taoster,8,1095440400
taoster,82,1095526800
taoster,51,1095613200
taoster,94,1095613200
taoster,71,1095699600
taoster,29,1095699600
taoster,79,1095872400
taoster,47,1095958800
taoster,10,1095958800
taoster,58,1095958800
taoster,81,1095958800
anárion,9,1094576400
anárion,95,1094576400
anárion,4,1094576400
anárion,28,1094576400
anárion,5,1094576400
anárion,8,1094576400
anárion,25,1094576400
anárion,17,1094662800
anárion,14,1094662800
anárion,47,1094749200
anárion,99,1094749200
